"Name of College","City","State","Minimum Score Required"
"Abilene Christian University","Abilene","Texas (TX)","4"
"Abraham Baldwin Agricultural College","Tifton","Georgia (GA)","3"
"Adams State University","Alamosa","Colorado (CO)","4"
"Adelphi University","Garden City","New York (NY)","3"
"Adrian College","Adrian","Michigan (MI)","4"
"Agnes Scott College","Decatur","Georgia (GA)","5"
"Alabama Agricultural and Mechanical University","Normal","Alabama (AL)","3"
"Alaska Pacific University","Anchorage","Alaska (AK)","3"
"Albany State University","Albany","Georgia (GA)","3"
"Albertus Magnus College","New Haven","Connecticut (CT)","3"
"Albion College","Albion","Michigan (MI)","4"
"Albright College","Reading","Pennsylvania (PA)","4"
"Alexandria Technical and Community College","Alexandria","Minnesota (MN)","3"
"Alfred University","Alfred","New York (NY)","4"
"Alice Lloyd College","Pippa Passes","Kentucky (KY)","3"
"Allan Hancock College","Santa Maria","California (CA)","3"
"Allegheny College","Meadville","Pennsylvania (PA)","4"
"Alliant International University","San Diego","California (CA)","3"
"Alma College","Alma","Michigan (MI)","4"
"Alpena Community College","Alpena","Michigan (MI)","3"
"Alverno College","Milwaukee","Wisconsin (WI)","3"
"Alvin Community College","Alvin","Texas (TX)","3"
"American International College","Springfield","Massachusetts (MA)","3"
"American Jewish University","Los Angeles","California (CA)","4"
"American River College","Sacramento","California (CA)","3"
"American University","Washington","District Of Columbia (DC)","4"
"Anderson University","Anderson","Indiana (IN)","3"
"Anderson University","Anderson","South Carolina (SC)","3"
"Andrews University","Berrien Springs","Michigan (MI)","3"
"Angelina College","Lufkin","Texas (TX)","3"
"Angelo State University","San Angelo","Texas (TX)","3"
"Anna Maria College","Paxton","Massachusetts (MA)","3"
"Anne Arundel Community College","Arnold","Maryland (MD)","3"
"Antelope Valley College","Lancaster","California (CA)","3"
"Antioch College","Yellow Springs","Ohio (OH)","4"
"Appalachian State University","Boone","North Carolina (NC)","3"
"Aquinas College","Nashville","Tennessee (TN)","3"
"Aquinas College","Grand Rapids","Michigan (MI)","3"
"Arcadia University","Glenside","Pennsylvania (PA)","3"
"Arizona State University","Tempe","Arizona (AZ)","4"
"Arizona State University West","Glendale","Arizona (AZ)","4"
"Arizona Western College","Yuma","Arizona (AZ)","4"
"Arkansas State University","Jonesboro","Arkansas (AR)","5"
"Arkansas State University: Beebe","Beebe","Arkansas (AR)","4"
"Arkansas State University: Mountain Home","Mountain Home","Arkansas (AR)","3"
"Arkansas Tech University","Russellville","Arkansas (AR)","3"
"Art Academy of Cincinnati","Cincinnati","Ohio (OH)","3"
"Art Institute of Boston at Lesley University","Boston","Massachusetts (MA)","3"
"Asbury University","Wilmore","Kentucky (KY)","3"
"Ashland Community And Technical College","Ashland","Kentucky (KY)","3"
"Ashland University","Ashland","Ohio (OH)","3"
"Assumption University","Worcester","Massachusetts (MA)","4"
"Atlantic Cape Community College","Mays Landing","New Jersey (NJ)","3"
"Auburn University","Auburn University","Alabama (AL)","4"
"Auburn University at Montgomery","Montgomery","Alabama (AL)","3"
"Augsburg University","Minneapolis","Minnesota (MN)","3"
"Augusta University","Augusta","Georgia (GA)","3"
"Augustana College","Rock Island","Illinois (IL)","4"
"Augustana University","Sioux Falls","South Dakota (SD)","4"
"Aurora University","Aurora","Illinois (IL)","3"
"Austin College","Sherman","Texas (TX)","4"
"Austin Peay State University","Clarksville","Tennessee (TN)","3"
"Averett University","Danville","Virginia (VA)","3"
"Avila University","Kansas City","Missouri (MO)","3"
"Azusa Pacific University","Azusa","California (CA)","3"
"Baker University","Baldwin City","Kansas (KS)","3"
"Bakersfield College","Bakersfield","California (CA)","3"
"Baldwin Wallace University","Berea","Ohio (OH)","3"
"Ball State University","Muncie","Indiana (IN)","3"
"Bard College","Annandale On Hudson","New York (NY)","5"
"Barry University","Miami","Florida (FL)","3"
"Barstow Community College","Barstow","California (CA)","3"
"Barton College","Wilson","North Carolina (NC)","3"
"Bates College","Lewiston","Maine (ME)","4"
"Bay Path University","Longmeadow","Massachusetts (MA)","3"
"Beacon College","Leesburg","Florida (FL)","3"
"Belhaven University","Jackson","Mississippi (MS)","3"
"Bellarmine University","Louisville","Kentucky (KY)","3"
"Bellevue College","Bellevue","Washington (WA)","3"
"Bellin College","Green Bay","Wisconsin (WI)","3"
"Belmont College","Saint Clairsville","Ohio (OH)","3"
"Belmont University","Nashville","Tennessee (TN)","4"
"Beloit College","Beloit","Wisconsin (WI)","4"
"Bemidji State University","Bemidji","Minnesota (MN)","3"
"Benedictine College","Atchison","Kansas (KS)","3"
"Benedictine University","Lisle","Illinois (IL)","3"
"Bennington College","Bennington","Vermont (VT)","4"
"Berea College","Berea","Kentucky (KY)","4"
"Berkeley City College","Berkeley","California (CA)","3"
"Berry College","Mount Berry","Georgia (GA)","3"
"Bethany College","Lindsborg","Kansas (KS)","3"
"Bethany Lutheran College","Mankato","Minnesota (MN)","3"
"Bethel College","North Newton","Kansas (KS)","3"
"Bethel University","Saint Paul","Minnesota (MN)","3"
"Bethel University","Mishawaka","Indiana (IN)","3"
"Bethune-Cookman University","Daytona Beach","Florida (FL)","3"
"Beverly Hills Design Institute","Beverly Hills","California (CA)","3"
"Big Bend Community College","Moses Lake","Washington (WA)","3"
"Big Sandy Community and Technical College","Prestonsburg","Kentucky (KY)","3"
"Biola University","La Mirada","California (CA)","3"
"Bismarck State College","Bismarck","North Dakota (ND)","3"
"Black Hawk College","Moline","Illinois (IL)","3"
"Black Hills State University","Spearfish","South Dakota (SD)","3"
"Black River Technical College","Pocahontas","Arkansas (AR)","3"
"Blue Mountain Community College","Pendleton","Oregon (OR)","3"
"Blue Ridge Community College","Flat Rock","North Carolina (NC)","3"
"Blue Ridge Community College","Weyers Cave","Virginia (VA)","3"
"Blue Ridge Community and Technical College","Martinsburg","West Virginia (WV)","3"
"Bluefield State University","Bluefield","West Virginia (WV)","3"
"Bluegrass Community and Technical College","Lexington","Kentucky (KY)","3"
"Bluffton University","Bluffton","Ohio (OH)","3"
"Bob Jones University","Greenville","South Carolina (SC)","4"
"Boise State University","Boise","Idaho (ID)","3"
"Boston College","Chestnut Hill","Massachusetts (MA)","4"
"Bowdoin College","Brunswick","Maine (ME)","4"
"Bowling Green State University","Bowling Green","Ohio (OH)","3"
"Bowling Green State University Firelands College","Huron","Ohio (OH)","3"
"Bradley University","Peoria","Illinois (IL)","3"
"Brenau University","Gainesville","Georgia (GA)","3"
"Brevard College","Brevard","North Carolina (NC)","3"
"BridgeValley Community And Technical College Montgomery","Montgomery","West Virginia (WV)","3"
"Bridgewater College","Bridgewater","Virginia (VA)","3"
"Brigham Young University","Provo","Utah (UT)","4"
"Brigham Young University-Hawaii","Laie","Hawaii (HI)","4"
"Brigham Young University-Idaho","Rexburg","Idaho (ID)","3"
"Brightpoint Community College","Chester","Virginia (VA)","3"
"Bristol Community College","Fall River","Massachusetts (MA)","3"
"Brookdale Community College","Lincroft","New Jersey (NJ)","3"
"Broward College","Fort Lauderdale","Florida (FL)","3"
"Broward College - North Campus","Coconut Creek","Florida (FL)","3"
"Bryant University","Smithfield","Rhode Island (RI)","4"
"Bryn Athyn College","Bryn Athyn","Pennsylvania (PA)","3"
"Bryn Mawr College","Bryn Mawr","Pennsylvania (PA)","5"
"Bucknell University","Lewisburg","Pennsylvania (PA)","3"
"Bucks County Community College","Newtown","Pennsylvania (PA)","3"
"Buena Vista University","Storm Lake","Iowa (IA)","3"
"Butler University","Indianapolis","Indiana (IN)","4"
"Butte College","Oroville","California (CA)","3"
"CUNY School of Professional Studies","New York","New York (NY)","3"
"Cabrillo College","Aptos","California (CA)","3"
"Cairn University","Langhorne","Pennsylvania (PA)","3"
"Caldwell Community College and Technical Institute","Hudson","North Carolina (NC)","4"
"Caldwell University","Caldwell","New Jersey (NJ)","3"
"Calhoun Community College","Tanner","Alabama (AL)","3"
"California Baptist University","Riverside","California (CA)","3"
