"Name of College","City","State","Minimum Score Required"
"Adams State University","Alamosa","Colorado (CO)","3"
"Adelphi University","Garden City","New York (NY)","4"
"Aims Community College","Greeley","Colorado (CO)","3"
"Albany State University","Albany","Georgia (GA)","3"
"Albertus Magnus College","New Haven","Connecticut (CT)","3"
"Albright College","Reading","Pennsylvania (PA)","4"
"Alcorn State University","Lorman","Mississippi (MS)","3"
"Alexandria Technical and Community College","Alexandria","Minnesota (MN)","3"
"Allegheny College","Meadville","Pennsylvania (PA)","4"
"American Jewish University","Los Angeles","California (CA)","4"
"American University","Washington","District Of Columbia (DC)","3"
"Appalachian State University","Boone","North Carolina (NC)","3"
"Arapahoe Community College","Littleton","Colorado (CO)","3"
"Arcadia University","Glenside","Pennsylvania (PA)","3"
"Arizona State University","Tempe","Arizona (AZ)","3"
"Ashland Community And Technical College","Ashland","Kentucky (KY)","3"
"Assumption University","Worcester","Massachusetts (MA)","4"
"Auburn University","Auburn University","Alabama (AL)","4"
"Augsburg University","Minneapolis","Minnesota (MN)","3"
"Babson College","Babson Park","Massachusetts (MA)","4"
"Bakersfield College","Bakersfield","California (CA)","3"
"Baldwin Wallace University","Berea","Ohio (OH)","4"
"Ball State University","Muncie","Indiana (IN)","3"
"Barnard College","New York","New York (NY)","4"
"Bates Technical College","Tacoma","Washington (WA)","3"
"Bellarmine University","Louisville","Kentucky (KY)","3"
"Bellevue College","Bellevue","Washington (WA)","3"
"Bellingham Technical College","Bellingham","Washington (WA)","3"
"Beloit College","Beloit","Wisconsin (WI)","4"
"Bemidji State University","Bemidji","Minnesota (MN)","3"
"Benedictine College","Atchison","Kansas (KS)","3"
"Benedictine University","Lisle","Illinois (IL)","3"
"Bethany College","Lindsborg","Kansas (KS)","3"
"Big Bend Community College","Moses Lake","Washington (WA)","3"
"Big Sandy Community and Technical College","Prestonsburg","Kentucky (KY)","3"
"Bismarck State College","Bismarck","North Dakota (ND)","3"
"Bluegrass Community and Technical College","Lexington","Kentucky (KY)","3"
"Boston University","Boston","Massachusetts (MA)","4"
"Bowling Green State University","Bowling Green","Ohio (OH)","3"
"Bowling Green State University Firelands College","Huron","Ohio (OH)","3"
"Brandeis University","Waltham","Massachusetts (MA)","4"
"Brigham Young University","Provo","Utah (UT)","4"
"Brookdale Community College","Lincroft","New Jersey (NJ)","3"
"Bucknell University","Lewisburg","Pennsylvania (PA)","3"
"Bucks County Community College","Newtown","Pennsylvania (PA)","3"
"Cairn University","Langhorne","Pennsylvania (PA)","3"
"California Baptist University","Riverside","California (CA)","3"
"California Polytechnic State University: San Luis Obispo","San Luis Obispo","California (CA)","3"
"California State University: Long Beach","Long Beach","California (CA)","3"
"California State University: Northridge","Northridge","California (CA)","3"
"Calvin University","Grand Rapids","Michigan (MI)","4"
"Capital University","Columbus","Ohio (OH)","3"
"Carleton College","Northfield","Minnesota (MN)","4"
"Carnegie Mellon University","Pittsburgh","Pennsylvania (PA)","5"
"Carroll University","Waukesha","Wisconsin (WI)","3"
"Cascadia College","Bothell","Washington (WA)","3"
"Catholic University of America","Washington","District Of Columbia (DC)","4"
"Central Carolina Technical College","Sumter","South Carolina (SC)","3"
"Central Connecticut State University","New Britain","Connecticut (CT)","3"
"Central Michigan University","Mount Pleasant","Michigan (MI)","3"
"Central New Mexico Community College","Albuquerque","New Mexico (NM)","3"
"Central Piedmont Community College","Charlotte","North Carolina (NC)","3"
"Centralia College","Centralia","Washington (WA)","3"
"Centre College","Danville","Kentucky (KY)","4"
"Chapman University","Orange","California (CA)","4"
"Charleston Southern University","North Charleston","South Carolina (SC)","4"
"Charter Oak State College","New Britain","Connecticut (CT)","3"
"Chatham University","Pittsburgh","Pennsylvania (PA)","4"
"Chicago State University","Chicago","Illinois (IL)","3"
"Christopher Newport University","Newport News","Virginia (VA)","3"
"City University of New York: Baruch College","New York","New York (NY)","3"
