"Name of College","City","State","Minimum Score Required"
"Abraham Baldwin Agricultural College","Tifton","Georgia (GA)","3"
"Adelphi University","Garden City","New York (NY)","3"
"Agnes Scott College","Decatur","Georgia (GA)","4"
"Aiken Technical College","Graniteville","South Carolina (SC)","3"
"Alabama State University","Montgomery","Alabama (AL)","3"
"Alaska Pacific University","Anchorage","Alaska (AK)","3"
"Albertus Magnus College","New Haven","Connecticut (CT)","3"
"Albion College","Albion","Michigan (MI)","4"
"Albright College","Reading","Pennsylvania (PA)","4"
"Alexandria Technical and Community College","Alexandria","Minnesota (MN)","3"
"Allan Hancock College","Santa Maria","California (CA)","4"
"Allegheny College","Meadville","Pennsylvania (PA)","4"
"Alma College","Alma","Michigan (MI)","4"
"Alverno College","Milwaukee","Wisconsin (WI)","3"
"Alvin Community College","Alvin","Texas (TX)","3"
"American Jewish University","Los Angeles","California (CA)","4"
"American University","Washington","District Of Columbia (DC)","4"
"Anderson University","Anderson","South Carolina (SC)","3"
"Anderson University","Anderson","Indiana (IN)","3"
"Andrews University","Berrien Springs","Michigan (MI)","4"
"Angelina College","Lufkin","Texas (TX)","3"
"Angelo State University","San Angelo","Texas (TX)","3"
"Anna Maria College","Paxton","Massachusetts (MA)","3"
"Anne Arundel Community College","Arnold","Maryland (MD)","3"
"Antelope Valley College","Lancaster","California (CA)","3"
"Antioch College","Yellow Springs","Ohio (OH)","4"
"Appalachian State University","Boone","North Carolina (NC)","3"
"Aquinas College","Grand Rapids","Michigan (MI)","3"
"Arcadia University","Glenside","Pennsylvania (PA)","3"
"Arizona State University","Tempe","Arizona (AZ)","3"
"Arizona State University West","Glendale","Arizona (AZ)","3"
"Arkansas Northeastern College","Blytheville","Arkansas (AR)","3"
"Arkansas State University","Jonesboro","Arkansas (AR)","3"
"Arkansas State University: Beebe","Beebe","Arkansas (AR)","3"
"Arkansas Tech University","Russellville","Arkansas (AR)","3"
"Art Center College of Design","Pasadena","California (CA)","4"
"Art Institute of Boston at Lesley University","Boston","Massachusetts (MA)","4"
"Ashland Community And Technical College","Ashland","Kentucky (KY)","3"
"Assumption University","Worcester","Massachusetts (MA)","4"
"Auburn University","Auburn University","Alabama (AL)","4"
"Augsburg University","Minneapolis","Minnesota (MN)","3"
"Augustana College","Rock Island","Illinois (IL)","4"
"Augustana University","Sioux Falls","South Dakota (SD)","4"
"Aurora University","Aurora","Illinois (IL)","3"
"Ave Maria University","Ave Maria","Florida (FL)","4"
"Averett University","Danville","Virginia (VA)","3"
"Avila University","Kansas City","Missouri (MO)","3"
"Azusa Pacific University","Azusa","California (CA)","3"
"Bakersfield College","Bakersfield","California (CA)","3"
"Baldwin Wallace University","Berea","Ohio (OH)","3"
"Ball State University","Muncie","Indiana (IN)","3"
"Bard College","Annandale On Hudson","New York (NY)","5"
"Barnard College","New York","New York (NY)","4"
"Barton College","Wilson","North Carolina (NC)","3"
"Bay Mills Community College","Brimley","Michigan (MI)","3"
"Beacon College","Leesburg","Florida (FL)","3"
"Belhaven University","Jackson","Mississippi (MS)","3"
"Bellarmine University","Louisville","Kentucky (KY)","3"
"Belmont University","Nashville","Tennessee (TN)","4"
"Beloit College","Beloit","Wisconsin (WI)","4"
"Bemidji State University","Bemidji","Minnesota (MN)","3"
"Benedictine College","Atchison","Kansas (KS)","3"
"Benedictine University","Lisle","Illinois (IL)","3"
"Bentley University","Waltham","Massachusetts (MA)","4"
"Berea College","Berea","Kentucky (KY)","4"
"Berkeley City College","Berkeley","California (CA)","3"
"Bethany College","Lindsborg","Kansas (KS)","3"
"Bethel University","Saint Paul","Minnesota (MN)","3"
"Bethel University","Mishawaka","Indiana (IN)","3"
"Big Sandy Community and Technical College","Prestonsburg","Kentucky (KY)","3"
"Biola University","La Mirada","California (CA)","3"
"Black Hawk College","Moline","Illinois (IL)","3"
"Black Hills State University","Spearfish","South Dakota (SD)","3"
"Blinn College","Brenham","Texas (TX)","3"
"Bloomfield College Of Montclair State University","Bloomfield","New Jersey (NJ)","4"
"Blue Mountain Community College","Pendleton","Oregon (OR)","3"
"Blue Ridge Community College","Weyers Cave","Virginia (VA)","3"
"Bluegrass Community and Technical College","Lexington","Kentucky (KY)","3"
"Bluffton University","Bluffton","Ohio (OH)","4"
"Boise State University","Boise","Idaho (ID)","3"
"Boston College","Chestnut Hill","Massachusetts (MA)","4"
"Boston University","Boston","Massachusetts (MA)","4"
"Bowling Green State University","Bowling Green","Ohio (OH)","3"
"Bowling Green State University Firelands College","Huron","Ohio (OH)","3"
"Bradley University","Peoria","Illinois (IL)","3"
"Brandeis University","Waltham","Massachusetts (MA)","4"
"BridgeValley Community And Technical College Montgomery","Montgomery","West Virginia (WV)","3"
"Bridgewater College","Bridgewater","Virginia (VA)","3"
"Brigham Young University","Provo","Utah (UT)","4"
"Brightpoint Community College","Chester","Virginia (VA)","3"
"Bristol Community College","Fall River","Massachusetts (MA)","3"
"Brookdale Community College","Lincroft","New Jersey (NJ)","3"
"Broward College","Fort Lauderdale","Florida (FL)","3"
"Broward College - North Campus","Coconut Creek","Florida (FL)","3"
"Bryan College: Dayton","Dayton","Tennessee (TN)","3"
"Bryant University","Smithfield","Rhode Island (RI)","3"
"Bucknell University","Lewisburg","Pennsylvania (PA)","4"
"Bucks County Community College","Newtown","Pennsylvania (PA)","3"
"Buena Vista University","Storm Lake","Iowa (IA)","3"
"Butler University","Indianapolis","Indiana (IN)","4"
"Butte College","Oroville","California (CA)","3"
"CUNY School of Professional Studies","New York","New York (NY)","3"
"Cabrillo College","Aptos","California (CA)","3"
"Cairn University","Langhorne","Pennsylvania (PA)","3"
"Caldwell Community College and Technical Institute","Hudson","North Carolina (NC)","3"
"Caldwell University","Caldwell","New Jersey (NJ)","3"
"California Baptist University","Riverside","California (CA)","3"
"California Polytechnic State University: San Luis Obispo","San Luis Obispo","California (CA)","3"
"California State Polytechnic University Humboldt","Arcata","California (CA)","3"
"California State Polytechnic University: Pomona","Pomona","California (CA)","3"
"California State University Maritime Academy","Vallejo","California (CA)","3"
"California State University: Bakersfield","Bakersfield","California (CA)","3"
"California State University: Channel Islands","Camarillo","California (CA)","3"
"California State University: Chico","Chico","California (CA)","3"
"California State University: Dominguez Hills","Carson","California (CA)","3"
"California State University: Fresno","Fresno","California (CA)","3"
"California State University: Fullerton","Fullerton","California (CA)","3"
"California State University: Long Beach","Long Beach","California (CA)","3"
"California State University: Los Angeles","Los Angeles","California (CA)","3"
"California State University: Monterey Bay","Seaside","California (CA)","3"
"California State University: Northridge","Northridge","California (CA)","3"
"California State University: Sacramento","Sacramento","California (CA)","3"
"California State University: San Bernardino","San Bernardino","California (CA)","3"
"California State University: San Marcos","San Marcos","California (CA)","3"
"California State University: Stanislaus","Turlock","California (CA)","3"
"Cameron University","Lawton","Oklahoma (OK)","3"
"Campbellsville University","Campbellsville","Kentucky (KY)","3"
"Capital University","Columbus","Ohio (OH)","3"
"Capitol Technology University","Laurel","Maryland (MD)","3"
"Carleton College","Northfield","Minnesota (MN)","5"
"Carnegie Mellon University","Pittsburgh","Pennsylvania (PA)","4"
"Carroll College","Helena","Montana (MT)","4"
"Carroll Community College","Westminster","Maryland (MD)","3"
"Carson-Newman University","Jefferson City","Tennessee (TN)","3"
"Carthage College","Kenosha","Wisconsin (WI)","3"
"Casper College","Casper","Wyoming (WY)","4"
"Catholic University of America","Washington","District Of Columbia (DC)","4"
"Cecil College","North East","Maryland (MD)","3"
"Cedarville University","Cedarville","Ohio (OH)","3"
"Centenary University","Hackettstown","New Jersey (NJ)","3"
"Central Arizona College","Coolidge","Arizona (AZ)","5"
"Central Carolina Community College","Sanford","North Carolina (NC)","3"
"Central Carolina Technical College","Sumter","South Carolina (SC)","3"
"Central College","Pella","Iowa (IA)","4"
"Central Connecticut State University","New Britain","Connecticut (CT)","3"
"Central Georgia Technical College","Warner Robins","Georgia (GA)","3"
"Central Methodist University","Fayette","Missouri (MO)","4"
