"Name of College","City","State","Minimum Score Required"
"Abilene Christian University","Abilene","Texas (TX)","3"
"Abraham Baldwin Agricultural College","Tifton","Georgia (GA)","3"
"Adelphi University","Garden City","New York (NY)","4"
"Adrian College","Adrian","Michigan (MI)","4"
"Alabama Agricultural and Mechanical University","Normal","Alabama (AL)","3"
"Alaska Pacific University","Anchorage","Alaska (AK)","3"
"Albany State University","Albany","Georgia (GA)","3"
"Albertus Magnus College","New Haven","Connecticut (CT)","3"
"Albright College","Reading","Pennsylvania (PA)","4"
"Alexandria Technical and Community College","Alexandria","Minnesota (MN)","3"
"Allan Hancock College","Santa Maria","California (CA)","3"
"Allegheny College","Meadville","Pennsylvania (PA)","4"
"Alliant International University","San Diego","California (CA)","3"
"Alma College","Alma","Michigan (MI)","3"
"Alverno College","Milwaukee","Wisconsin (WI)","3"
"American International College","Springfield","Massachusetts (MA)","3"
"American Jewish University","Los Angeles","California (CA)","4"
"American River College","Sacramento","California (CA)","3"
"American University","Washington","District Of Columbia (DC)","5"
"Anderson University","Anderson","South Carolina (SC)","3"
"Anderson University","Anderson","Indiana (IN)","3"
"Andrews University","Berrien Springs","Michigan (MI)","3"
"Anne Arundel Community College","Arnold","Maryland (MD)","3"
"Antelope Valley College","Lancaster","California (CA)","3"
"Appalachian State University","Boone","North Carolina (NC)","3"
"Aquinas College","Nashville","Tennessee (TN)","3"
"Aquinas College","Grand Rapids","Michigan (MI)","3"
"Arcadia University","Glenside","Pennsylvania (PA)","3"
"Arizona State University","Tempe","Arizona (AZ)","3"
"Arizona State University West","Glendale","Arizona (AZ)","3"
"Arkansas Tech University","Russellville","Arkansas (AR)","3"
"Art Academy of Cincinnati","Cincinnati","Ohio (OH)","3"
"Art Center College of Design","Pasadena","California (CA)","4"
"Art Institute of Boston at Lesley University","Boston","Massachusetts (MA)","4"
"Ashland Community And Technical College","Ashland","Kentucky (KY)","3"
"Athens State University","Athens","Alabama (AL)","3"
"Auburn University","Auburn University","Alabama (AL)","3"
"Augsburg University","Minneapolis","Minnesota (MN)","3"
"Augusta University","Augusta","Georgia (GA)","3"
"Augustana College","Rock Island","Illinois (IL)","4"
"Augustana University","Sioux Falls","South Dakota (SD)","4"
"Aurora University","Aurora","Illinois (IL)","3"
