"Name of College","City","State","Minimum Score Required"
"Abilene Christian University","Abilene","Texas (TX)","3"
"Abraham Baldwin Agricultural College","Tifton","Georgia (GA)","3"
"Adams State University","Alamosa","Colorado (CO)","3"
"Adelphi University","Garden City","New York (NY)","4"
"Aims Community College","Greeley","Colorado (CO)","3"
"Albany State University","Albany","Georgia (GA)","3"
"Albertus Magnus College","New Haven","Connecticut (CT)","3"
"Alexandria Technical and Community College","Alexandria","Minnesota (MN)","3"
"Allan Hancock College","Santa Maria","California (CA)","3"
"Alma College","Alma","Michigan (MI)","4"
"Alvin Community College","Alvin","Texas (TX)","3"
"American Jewish University","Los Angeles","California (CA)","4"
"American University","Washington","District Of Columbia (DC)","4"
"Anderson University","Anderson","Indiana (IN)","3"
"Anderson University","Anderson","South Carolina (SC)","3"
"Andrew College","Cuthbert","Georgia (GA)","3"
"Angelo State University","San Angelo","Texas (TX)","3"
"Anne Arundel Community College","Arnold","Maryland (MD)","3"
"Appalachian State University","Boone","North Carolina (NC)","3"
"Arapahoe Community College","Littleton","Colorado (CO)","3"
"Arcadia University","Glenside","Pennsylvania (PA)","3"
"Arizona State University","Tempe","Arizona (AZ)","3"
"Ashland Community And Technical College","Ashland","Kentucky (KY)","3"
"Auburn University","Auburn University","Alabama (AL)","4"
"Augsburg University","Minneapolis","Minnesota (MN)","4"
"Augustana College","Rock Island","Illinois (IL)","4"
"Aurora University","Aurora","Illinois (IL)","3"
"Austin Peay State University","Clarksville","Tennessee (TN)","3"
"Azusa Pacific University","Azusa","California (CA)","3"
"Bakersfield College","Bakersfield","California (CA)","3"
"Baldwin Wallace University","Berea","Ohio (OH)","3"
"Ball State University","Muncie","Indiana (IN)","3"
"Baylor University","Waco","Texas (TX)","4"
"Bellarmine University","Louisville","Kentucky (KY)","4"
"Bellevue College","Bellevue","Washington (WA)","3"
"Bellingham Technical College","Bellingham","Washington (WA)","3"
"Bemidji State University","Bemidji","Minnesota (MN)","3"
"Benedictine College","Atchison","Kansas (KS)","3"
"Benedictine University","Lisle","Illinois (IL)","3"
"Bennington College","Bennington","Vermont (VT)","4"
"Berry College","Mount Berry","Georgia (GA)","4"
"Bethany College","Lindsborg","Kansas (KS)","3"
"Bethel University","Mishawaka","Indiana (IN)","4"
