"Name of College","City","State","Minimum Score Required"
"Adelphi University","Garden City","New York (NY)","4"
"Alamance Community College","Graham","North Carolina (NC)","3"
"Albany State University","Albany","Georgia (GA)","3"
"Albertus Magnus College","New Haven","Connecticut (CT)","3"
"Albion College","Albion","Michigan (MI)","4"
"Albright College","Reading","Pennsylvania (PA)","4"
"Alexandria Technical and Community College","Alexandria","Minnesota (MN)","3"
"Allegheny College","Meadville","Pennsylvania (PA)","4"
"Alma College","Alma","Michigan (MI)","4"
"Alverno College","Milwaukee","Wisconsin (WI)","3"
"American International College","Springfield","Massachusetts (MA)","3"
"American University","Washington","District Of Columbia (DC)","4"
"Anderson University","Anderson","South Carolina (SC)","3"
"Anderson University","Anderson","Indiana (IN)","3"
"Andrews University","Berrien Springs","Michigan (MI)","3"
"Appalachian State University","Boone","North Carolina (NC)","3"
"Aquinas College","Grand Rapids","Michigan (MI)","3"
"Arcadia University","Glenside","Pennsylvania (PA)","3"
"Arizona State University","Tempe","Arizona (AZ)","3"
"Arizona State University West","Glendale","Arizona (AZ)","3"
"Arkansas Tech University","Russellville","Arkansas (AR)","3"
"Art Center College of Design","Pasadena","California (CA)","4"
"Augusta University","Augusta","Georgia (GA)","3"
"Austin College","Sherman","Texas (TX)","4"
"Averett University","Danville","Virginia (VA)","3"
"Bakersfield College","Bakersfield","California (CA)","3"
"Baldwin Wallace University","Berea","Ohio (OH)","3"
"Ball State University","Muncie","Indiana (IN)","3"
"Bard College","Annandale On Hudson","New York (NY)","5"
"Baylor University","Waco","Texas (TX)","3"
"Belhaven University","Jackson","Mississippi (MS)","3"
"Bellevue College","Bellevue","Washington (WA)","3"
"Bemidji State University","Bemidji","Minnesota (MN)","3"
"Benedictine University","Lisle","Illinois (IL)","3"
"Big Sandy Community and Technical College","Prestonsburg","Kentucky (KY)","3"
"Biola University","La Mirada","California (CA)","3"
"Black Hills State University","Spearfish","South Dakota (SD)","3"
"Bluegrass Community and Technical College","Lexington","Kentucky (KY)","3"
"Bluffton University","Bluffton","Ohio (OH)","4"
"Boise State University","Boise","Idaho (ID)","3"
"Bowling Green State University","Bowling Green","Ohio (OH)","3"
"Bowling Green State University Firelands College","Huron","Ohio (OH)","3"
"Bradley University","Peoria","Illinois (IL)","3"
"BridgeValley Community And Technical College Montgomery","Montgomery","West Virginia (WV)","3"
"Bridgewater State University","Bridgewater","Massachusetts (MA)","3"
"Brigham Young University","Provo","Utah (UT)","4"
"Bucknell University","Lewisburg","Pennsylvania (PA)","4"
"Butler University","Indianapolis","Indiana (IN)","4"
"Cabrillo College","Aptos","California (CA)","3"
"California Polytechnic State University: San Luis Obispo","San Luis Obispo","California (CA)","3"
"California State Polytechnic University Humboldt","Arcata","California (CA)","3"
"California State Polytechnic University: Pomona","Pomona","California (CA)","3"
"California State University: Bakersfield","Bakersfield","California (CA)","3"
"California State University: Channel Islands","Camarillo","California (CA)","3"
"California State University: Chico","Chico","California (CA)","3"
"California State University: Dominguez Hills","Carson","California (CA)","3"
"California State University: Fullerton","Fullerton","California (CA)","3"
"California State University: Long Beach","Long Beach","California (CA)","3"
"California State University: Los Angeles","Los Angeles","California (CA)","3"
"California State University: Monterey Bay","Seaside","California (CA)","3"
"California State University: Northridge","Northridge","California (CA)","3"
"California State University: Sacramento","Sacramento","California (CA)","3"
"California State University: San Bernardino","San Bernardino","California (CA)","3"
"California State University: San Marcos","San Marcos","California (CA)","3"
"California State University: Stanislaus","Turlock","California (CA)","3"
"Calvin University","Grand Rapids","Michigan (MI)","4"
"Capital University","Columbus","Ohio (OH)","3"
"Carthage College","Kenosha","Wisconsin (WI)","3"
